,"('BTC', 'BTC')","('ETH', 'ETH')","('BNB', 'BNB')","('XRP', 'XRP')","('SOL', 'SOL')","('DOGE', 'DOGE')","('ADA', 'ADA')","('AVAX', 'AVAX')","('TRX', 'TRX')","('DOT', 'DOT')","('MATIC', 'MATIC')","('LINK', 'LINK')","('NEAR', 'NEAR')","('OP', 'OP')","('ARB', 'ARB')","('APT', 'APT')","('STX', 'STX')","('ICP', 'ICP')"
2014-12-06,374.7850036621094,,,,,,,,,,,,,,,,,
2014-12-07,375.0950012207031,,,,,,,,,,,,,,,,,
2014-12-08,361.9089965820313,,,,,,,,,,,,,,,,,
2014-12-09,352.218994140625,,,,,,,,,,,,,,,,,
2014-12-10,346.364990234375,,,,,,,,,,,,,,,,,
2014-12-11,350.5060119628906,,,,,,,,,,,,,,,,,
2014-12-12,352.5419921875,,,,,,,,,,,,,,,,,
2014-12-13,347.3760070800781,,,,,,,,,,,,,,,,,
2014-12-14,351.6319885253906,,,,,,,,,,,,,,,,,
2014-12-15,345.3450012207031,,,,,,,,,,,,,,,,,
2014-12-16,327.06201171875,,,,,,,,,,,,,,,,,
2014-12-17,319.7760009765625,,,,,,,,,,,,,,,,,
2014-12-18,311.39599609375,,,,,,,,,,,,,,,,,
2014-12-19,317.8429870605469,,,,,,,,,,,,,,,,,
2014-12-20,329.95599365234375,,,,,,,,,,,,,,,,,
2014-12-21,320.8429870605469,,,,,,,,,,,,,,,,,
2014-12-22,331.885986328125,,,,,,,,,,,,,,,,,
2014-12-23,334.5719909667969,,,,,,,,,,,,,,,,,
2014-12-24,322.53399658203125,,,,,,,,,,,,,,,,,
2014-12-25,319.00799560546875,,,,,,,,,,,,,,,,,
2014-12-26,327.92401123046875,,,,,,,,,,,,,,,,,
2014-12-27,315.8630065917969,,,,,,,,,,,,,,,,,
2014-12-28,317.239013671875,,,,,,,,,,,,,,,,,
2014-12-29,312.6700134277344,,,,,,,,,,,,,,,,,
2014-12-30,310.73699951171875,,,,,,,,,,,,,,,,,
2014-12-31,320.1929931640625,,,,,,,,,,,,,,,,,
2015-01-01,314.2489929199219,,,,,,,,,,,,,,,,,
2015-01-02,315.0320129394531,,,,,,,,,,,,,,,,,
2015-01-03,281.0820007324219,,,,,,,,,,,,,,,,,
2015-01-04,264.19500732421875,,,,,,,,,,,,,,,,,
2015-01-05,274.4739990234375,,,,,,,,,,,,,,,,,
2015-01-06,286.1889953613281,,,,,,,,,,,,,,,,,
2015-01-07,294.3370056152344,,,,,,,,,,,,,,,,,
2015-01-08,283.3489990234375,,,,,,,,,,,,,,,,,
2015-01-09,290.4079895019531,,,,,,,,,,,,,,,,,
2015-01-10,274.7959899902344,,,,,,,,,,,,,,,,,
2015-01-11,265.6600036621094,,,,,,,,,,,,,,,,,
2015-01-12,267.7959899902344,,,,,,,,,,,,,,,,,
2015-01-13,225.86099243164065,,,,,,,,,,,,,,,,,
2015-01-14,178.10299682617188,,,,,,,,,,,,,,,,,
